node_id,node_coordinate_
1,0
2,0.0125
3,0.025
4,0.0375
5,0.05
6,0.0625
7,0.075
8,0.0875
9,0.1
10,0.1125
11,0.125
12,0.1375
13,0.15
14,0.1625
15,0.175
16,0.1875
17,0.2
18,0.2125
19,0.225
20,0.2375
21,0.25
22,0.2625
23,0.275
24,0.2875
25,0.3
26,0.3125
27,0.325
28,0.3375
29,0.35
30,0.3625
31,0.375
32,0.3875
33,0.4
34,0.4125
35,0.425
36,0.4375
37,0.45
38,0.4625
39,0.475
40,0.4875
41,0.5
42,0.5125
43,0.525
44,0.5375
45,0.55
46,0.5625
47,0.575
48,0.5875
49,0.6
50,0.6125
51,0.625
52,0.6375
53,0.65
54,0.6625
55,0.675
56,0.6875
57,0.7
58,0.7125
59,0.725
60,0.7375
61,0.75
62,0.7625
63,0.775
64,0.7875
65,0.8
66,0.8125
67,0.825
68,0.8375
69,0.85
70,0.8625
71,0.875
72,0.8875
73,0.9
74,0.9125
75,0.925
76,0.9375
77,0.95
78,0.9625
79,0.975
80,0.9875
81,1
